模块,编号,用例名称,前置条件/步骤要点,步骤,预期结果,优先级,测试结果,测试人,测试日期,实际结果,缺陷编号,备注
测试环境准备,ENV-01,加载解压扩展,Edge 开发人员模式已开,1. edge://extensions/ 加载 ai-chat-manager 目录 2. 查看扩展状态,扩展启用、无报错、版本号正确,P0,未测,,,,
测试环境准备,ENV-02,打开侧栏,扩展已加载,点击工具栏扩展图标,侧栏打开，见列表/平台 Tab/搜索框,P0,未测,,,,
测试环境准备,ENV-03,图标与名称,扩展已加载,查看扩展管理页与侧栏标题,名称「AI对话管理器」，图标正常,P2,未测,,,,
测试环境准备,ENV-04,重载后仍可用,扩展已加载,扩展管理页点「重新加载」，刷新 AI 页面,侧栏可用；AI 页需 F5 后保存仍可用,P0,未测,,,,
测试环境准备,ENV-05,未登录平台页,打开某平台但未登录,尝试保存,有明确错误提示（登录/无内容），不崩溃,P1,未测,,,,
安装与权限,INS-01,主机权限,扩展已装,分别打开 5 平台官网,content script 注入无控制台致命错误,P0,未测,,,,
安装与权限,INS-02,侧栏权限,—,从 AI 页打开侧栏,可保存、可列表刷新,P0,未测,,,,
安装与权限,INS-03,卸载重装,已有本地对话,移除扩展再加载同目录,数据可能清空（local）；扩展可重新加载,P2,未测,,,,
通用保存,SAV-01,手动保存单轮,已登录；完成 ≥1 轮问答且回答结束,打开侧栏 →「保存本轮」,Toast 成功；列表新增 1 条；平台标签正确,P0,未测,,,,
通用保存,SAV-02,手动保存多轮,同会话 ≥3 轮问答,保存,详情中用户/AI 轮次齐全、顺序正确、内容与页面一致（允许展示清洗，存储完整）,P0,未测,,,,
通用保存,SAV-03,流式中保存,AI 正在生成,点保存,提示等待完成，不写入半截；或明确拦截,P0,未测,,,,
通用保存,SAV-04,生成结束后保存,刚结束流式,立即保存,成功；末条助手内容完整,P0,未测,,,,
通用保存,SAV-05,重复保存同会话,该会话已保存过,再保存一次（内容有新增）,更新同一条（同 session/url 策略），不无意义复制多条错误标题,P0,未测,,,,
通用保存,SAV-06,空对话保存,新会话无消息,保存,提示无可保存内容，不新增脏数据,P1,未测,,,,
通用保存,SAV-07,长文本不截断,单条回答 >5000 字,保存后打开详情 → 点「展开」,全文可见；导出 JSON 中 content 完整,P0,未测,,,,
通用保存,SAV-08,含代码/表格/列表,回答含 markdown 代码块或表格,保存并打开详情,可读；代码可复制（若有复制按钮）,P1,未测,,,,
通用保存,SAV-09,自动保存开,设置中自动保存开启,新开对话并完成一轮,一段时间后列表自动出现/更新,P1,未测,,,,
